    #         X           Y           Z       CHARGE      MIN DIST   ATOMIC VOL
 --------------------------------------------------------------------------------
    1    5.425755    4.596467    3.714779    2.208530     0.124295     4.741118
    2    6.692376    4.026550    1.439020    2.244542     0.136894     4.917050
    3    6.956203    2.369674    3.740448    1.882128     0.133361     4.066274
    4    4.478434    1.127812    0.911340    1.598682     0.105159     3.544897
    5    3.221782    1.693243    3.169188    1.806916     0.128304     3.982539
    6    2.955485    3.356614    0.877038    2.131143     0.150025     4.746078
    7    8.180784    5.675584    4.596313    2.966915     0.707192     7.619925
    8    9.014412    5.300493    3.098519    2.828365     0.674802     7.651727
    9    9.120128    4.162077    4.584202    2.066534     0.080318     4.918509
   10    1.720631    0.060706    0.017892    2.412024     0.152745     6.359809
   11    0.891926    0.433582    1.506842    2.595212     0.186598     7.060619
   12    0.738756    1.471046    0.027675    6.994804     0.889474    13.945305
   13    6.121585    3.489614    2.866067    5.825985     0.073397    12.368045
   14    3.848881    2.274331    1.777680    5.711921     0.043692    12.285185
   15    4.990877    2.866625    2.330143    5.726297     0.813571    10.692169
 --------------------------------------------------------------------------------
    VACUUM CHARGE:               0.0000
    VACUUM VOLUME:               0.0000
    NUMBER OF ELECTRONS:        49.0000
