    #         X           Y           Z        CHARGE     ATOM    DISTANCE
  -------------------------------------------------------------------------
    1      0.8396      1.2287      0.2583      1.3616      12      0.3662
    2      3.1374      4.5736      1.2270      1.3131      11      0.5929
    3      0.6326      0.3328      1.0978      0.0032      11      0.4954
    4      0.8804      0.4432      1.5499      0.0238      11      0.0371
    5      1.0928      0.5378      1.9374      0.7738      11      0.4844
    6      1.1636      0.5693      2.0665      0.2917      11      0.6349
    7      1.3052      0.6324      2.3248      0.0280       8      0.8732
    8      3.6097      5.2285      2.5832      0.8664       8      0.6209
    9      3.8928      5.3547      3.0998      0.0260       8      0.0355
   10      7.3099      1.2243      3.4227      1.7609       8      0.5884
   11      1.2344      0.6009      2.1957      0.0404      11      0.7855
   12      1.3760      0.6640      2.4540      0.0156       8      0.7242
   13      3.3427      1.1437      3.3581      1.0145       5      0.5805
   14      2.6989      1.6950      3.2289      0.2895       5      0.6079
   15      0.5871      1.2304      0.0000      0.0736      12      0.3254
   16      7.3751      1.8386      3.5518      0.9644       3      0.5846
   17      2.7606      1.8561      3.3581      0.1363       5      0.5921
   18      3.3796      2.3674      4.3914      2.2052      12      0.3997
   19      1.8844      1.1454      3.0998      0.0011       8      0.4801
   20      7.5493      1.2749      3.0998      0.0160       8      0.5941
   21      3.1177      2.5617      4.3914      0.3042      12      0.3540
   22      0.9586      1.5683      0.3229      0.0639      12      0.3600
   23      0.7816      1.4894      0.0000      0.0464      12      0.0360
   24      0.8652      1.8132      0.0000      2.4796      12      0.3280
   25      7.0721      3.4130      0.4521      1.9530       9      0.5971
   26      3.0722      3.9593      1.0978      0.9417       6      0.5803
   27      7.1996      3.7492      1.0333      0.9889       2      0.5458
   28      6.6271      3.6744      2.5832      1.8701      13      0.3748
   29      6.6631      3.2824      3.0998      1.8718      13      0.3949
   30      3.7312      2.3195      1.8082      0.0639      14      0.3246
   31      3.8551      2.5155      1.5499      1.8209      14      0.3755
   32      3.8911      2.1235      2.0665      1.7540      14      0.3704
   33      7.2986      3.2030      0.3875      0.0418       9      0.4963
