Epoch|Element|w0|w1|w2|w3|w4|w5|w6|w7|w8|w9|w10|w11|w12|w13|w14|w15|w16|w17|w18|w19|w20|w21|w22|w23|w24|w25|w26|w27|w28|w29|w30|w31|w32|w33|w34|w35|w36|w37|w38|w39|w40|w41|w42|w43|w44|w45|w46|w47|w48|w49|w50|w51|w52|w53|w54|w55|w56|w57|w58|w59|w60|w61|w62|w63
1|Boron|-0.521777868270874|-0.6559539437294006|-0.6447584629058838|-1.3450456857681274|-0.6657540798187256|-1.8747789859771729|0.5981713533401489|-0.15223416686058044|-0.323787659406662|0.3708810806274414|0.07379302382469177|-0.9492828845977783|-1.0822125673294067|0.9071612358093262|-0.9135308861732483|-0.9773260951042175|-1.749203085899353|-0.3688301742076874|-0.03967306390404701|-0.4957064986228943|-0.7337471842765808|0.2887594699859619|-0.14662045240402222|1.481201171875|-0.3224646747112274|0.3959468901157379|-0.01355278491973877|1.9349493980407715|0.1688241809606552|-1.6351497173309326|-0.6175482273101807|0.3115585446357727|-1.1901576519012451|-1.9797874689102173|0.1968083530664444|-1.7317856550216675|0.8534552454948425|1.8017044067382812|0.10229820758104324|-1.0339292287826538|-0.5448551177978516|-0.2646688222885132|0.10826874524354935|-0.4123327434062958|-0.3194311857223511|0.3059030771255493|0.5656116008758545|0.8331559896469116|-0.9466652274131775|-0.12610502541065216|-0.3215641975402832|1.5405950546264648|0.5456435084342957|-0.27407827973365784|-2.05912184715271|-2.388448476791382|-0.17707951366901398|0.18515744805335999|-1.2678550481796265|-0.6613882184028625|-0.15947706997394562|-0.5567470788955688|0.667489767074585|1.1370409727096558
1|Carbon|0.6112920045852661|0.07767616957426071|0.36663946509361267|0.20285528898239136|0.43701815605163574|-0.07165171205997467|0.7591561675071716|0.06580918282270432|2.2850067615509033|1.2689329385757446|-0.7271327972412109|2.473982810974121|0.5350130200386047|-0.2658986747264862|1.6908998489379883|0.5381955504417419|-2.2539188861846924|-0.24531549215316772|1.0354034900665283|-0.2590971887111664|0.9556459188461304|-0.7669991850852966|-0.37648212909698486|-1.0295714139938354|-0.23590196669101715|-0.7864677906036377|-1.399469017982483|-0.19101180136203766|-2.393688678741455|-0.09991782158613205|0.7179405689239502|0.4834846556186676|0.2914726734161377|-0.13586491346359253|0.8630639314651489|-0.0850171223282814|0.43556541204452515|-0.12093701958656311|-1.1405073404312134|1.0233008861541748|1.4173890352249146|0.6608648300170898|-1.7426464557647705|0.7521262764930725|-1.3777261972427368|-0.30150288343429565|-1.033746600151062|1.4262785911560059|-1.237504243850708|-0.2799311876296997|-0.015836838632822037|-1.3683083057403564|-0.9264329075813293|-0.7801614999771118|0.025315364822745323|-0.51448655128479|-0.11201561987400055|-1.4238251447677612|-0.773335874080658|-0.08600691705942154|1.0742018222808838|-0.32374730706214905|-0.7878807187080383|-1.6968882083892822
2|Boron|-0.5185084342956543|-0.6529852747917175|-0.6464560031890869|-1.3387515544891357|-0.6693539619445801|-1.875557541847229|0.5996378660202026|-0.15710774064064026|-0.28757429122924805|0.37173670530319214|0.07346868515014648|-0.9492688775062561|-1.0825285911560059|0.9093230366706848|-0.9103753566741943|-1.0057162046432495|-1.7312299013137817|-0.3710835874080658|-0.04151733219623566|-0.48187705874443054|-0.7343021035194397|0.2900904417037964|-0.14804773032665253|1.4754351377487183|-0.3199402689933777|0.39590775966644287|-0.014140263199806213|1.933334231376648|0.16234421730041504|-1.6324881315231323|-0.6055766940116882|0.30466508865356445|-1.1901956796646118|-1.980385661125183|0.19533532857894897|-1.7239729166030884|0.8508099317550659|1.8052750825881958|0.1012175902724266|-1.0374246835708618|-0.5458806157112122|-0.2667260468006134|0.10774218291044235|-0.4133484363555908|-0.31971827149391174|0.30502888560295105|0.5645056366920471|0.8343389630317688|-0.9251595735549927|-0.12289212644100189|-0.32330262660980225|1.5355440378189087|0.5501585602760315|-0.27240145206451416|-2.056384325027466|-2.3866117000579834|-0.1750287264585495|0.19089002907276154|-1.2660014629364014|-0.6592985987663269|-0.16164027154445648|-0.5611019134521484|0.6665591597557068|1.1363840103149414
2|Carbon|0.6249864101409912|0.0726480782032013|0.3582666218280792|0.2125365287065506|0.4328792989253998|-0.07538511604070663|0.7566307783126831|0.06222524121403694|2.3373775482177734|1.2690573930740356|-0.7344683408737183|2.4713222980499268|0.5362499356269836|-0.2588573396205902|1.6986302137374878|0.5031391382217407|-2.229614734649658|-0.24765168130397797|1.0365508794784546|-0.23577608168125153|0.9343857169151306|-0.76258385181427|-0.3800292909145355|-1.0424399375915527|-0.2298898845911026|-0.7835635542869568|-1.405817985534668|-0.19261251389980316|-2.3980350494384766|-0.09906702488660812|0.7539634704589844|0.467973917722702|0.2885405123233795|-0.13876508176326752|0.8602401614189148|-0.060601767152547836|0.429871141910553|-0.12725619971752167|-1.1387962102890015|1.0208739042282104|1.4176870584487915|0.6570249795913696|-1.7480336427688599|0.7413305640220642|-1.3796520233154297|-0.29856500029563904|-1.0413756370544434|1.4273349046707153|-1.210528016090393|-0.27160874009132385|-0.025159109383821487|-1.3707627058029175|-0.9151482582092285|-0.7764081358909607|0.03116735629737377|-0.5145729184150696|-0.10346287488937378|-1.423123836517334|-0.7698227763175964|-0.0883605107665062|1.0728477239608765|-0.33032462000846863|-0.7912458181381226|-1.7021856307983398
3|Boron|-0.5134395360946655|-0.6478537321090698|-0.6476537585258484|-1.331940770149231|-0.6721543073654175|-1.8753392696380615|0.602630078792572|-0.1627189666032791|-0.2614617645740509|0.37217065691947937|0.07566044479608536|-0.9481295943260193|-1.083460807800293|0.9106056094169617|-0.9084687829017639|-1.0286768674850464|-1.718957543373108|-0.3724589943885803|-0.04450418800115585|-0.467638224363327|-0.7317949533462524|0.29099276661872864|-0.1489488035440445|1.4701950550079346|-0.3190399706363678|0.39575469493865967|-0.013024922460317612|1.932166576385498|0.15887340903282166|-1.6299796104431152|-0.5974517464637756|0.30024224519729614|-1.1899915933609009|-1.980855941772461|0.19350767135620117|-1.7195086479187012|0.8483604788780212|1.808559775352478|0.09995009750127792|-1.0324807167053223|-0.5467233061790466|-0.2682434916496277|0.10868652909994125|-0.41461867094039917|-0.31949150562286377|0.3035265803337097|0.5642139911651611|0.8356460928916931|-0.9098610281944275|-0.12038405239582062|-0.32820552587509155|1.5308022499084473|0.554008960723877|-0.2681518495082855|-2.054328441619873|-2.385244607925415|-0.17475594580173492|0.19591198861598969|-1.264190673828125|-0.6588399410247803|-0.16393597424030304|-0.5638815760612488|0.665490984916687|1.1357501745224
3|Carbon|0.640706479549408|0.06226860359311104|0.3498387932777405|0.2168087363243103|0.42598554491996765|-0.07771945744752884|0.7488064169883728|0.05893813073635101|2.378781795501709|1.2711360454559326|-0.7447936534881592|2.466935634613037|0.537007212638855|-0.2526262700557709|1.7078324556350708|0.4798771142959595|-2.2056198120117188|-0.2508859932422638|1.0412089824676514|-0.22743791341781616|0.9054744839668274|-0.7589321136474609|-0.3841572701931|-1.0563948154449463|-0.22279545664787292|-0.7820981740951538|-1.4146922826766968|-0.19577528536319733|-2.407862901687622|-0.0966978669166565|0.7847912311553955|0.4559513330459595|0.2861343324184418|-0.13969993591308594|0.8598498702049255|-0.049231454730033875|0.4245119094848633|-0.1336073875427246|-1.1384738683700562|1.016230583190918|1.4171499013900757|0.6553280353546143|-1.7559353113174438|0.7320269346237183|-1.3822675943374634|-0.29590436816215515|-1.0497368574142456|1.4266090393066406|-1.184429407119751|-0.26445895433425903|-0.025081144645810127|-1.3720874786376953|-0.9030264019966125|-0.7815302610397339|0.03661242127418518|-0.5123197436332703|-0.09318926185369492|-1.4256287813186646|-0.7662441730499268|-0.08673647046089172|1.069726824760437|-0.3404328525066376|-0.7931330800056458|-1.7085459232330322
4|Boron|-0.5183201432228088|-0.6442717909812927|-0.6470271348953247|-1.3300610780715942|-0.6722953915596008|-1.8745213747024536|0.6124571561813354|-0.16434815526008606|-0.26134058833122253|0.3696894347667694|0.07937318831682205|-0.9435606002807617|-1.085764765739441|0.9148529767990112|-0.908839225769043|-1.0445184707641602|-1.702147126197815|-0.37163737416267395|-0.04684116318821907|-0.4596957266330719|-0.7102140188217163|0.2912808656692505|-0.14628270268440247|1.467563509941101|-0.3190997838973999|0.3950743079185486|-0.010379512794315815|1.931919813156128|0.15746578574180603|-1.62931489944458|-0.5912168025970459|0.28877875208854675|-1.1897597312927246|-1.977133870124817|0.19607695937156677|-1.7088799476623535|0.8478025197982788|1.8138316869735718|0.09899218380451202|-1.0487840175628662|-0.5457321405410767|-0.2709967792034149|0.11002779752016068|-0.404665470123291|-0.31882503628730774|0.30252185463905334|0.5640586018562317|0.8369807600975037|-0.8922479152679443|-0.11972106248140335|-0.3362395763397217|1.5328994989395142|0.5487108826637268|-0.26736897230148315|-2.053116798400879|-2.3837459087371826|-0.1708015352487564|0.19699305295944214|-1.265498399734497|-0.653630256652832|-0.1647467315196991|-0.5644033551216125|0.6650353074073792|1.1374653577804565
4|Carbon|0.6597026586532593|0.05731051787734032|0.3401700258255005|0.22109906375408173|0.4263741970062256|-0.08319670706987381|0.7447206974029541|0.06305030733346939|2.396136522293091|1.268505573272705|-0.7575803995132446|2.4577085971832275|0.5428026914596558|-0.2459917813539505|1.7188100814819336|0.47507041692733765|-2.190479278564453|-0.24797844886779785|1.0416203737258911|-0.2269294559955597|0.8771764636039734|-0.7522659301757812|-0.3922155201435089|-1.069350004196167|-0.21359728276729584|-0.7766345739364624|-1.4266327619552612|-0.19329483807086945|-2.409515619277954|-0.09993423521518707|0.8035297989845276|0.4496888816356659|0.27993762493133545|-0.1447630226612091|0.8552185893058777|-0.05068904906511307|0.4165714979171753|-0.14246027171611786|-1.1334962844848633|1.0130218267440796|1.421371579170227|0.6512743234634399|-1.7666016817092896|0.7188183069229126|-1.3891059160232544|-0.2892824709415436|-1.0598690509796143|1.4296942949295044|-1.1676656007766724|-0.255924791097641|-0.021762436255812645|-1.3675812482833862|-0.8892499208450317|-0.7836073040962219|0.044302355498075485|-0.5153723359107971|-0.08264201134443283|-1.4334264993667603|-0.75871741771698|-0.090928815305233|1.0724780559539795|-0.34191668033599854|-0.7984012961387634|-1.7183870077133179
5|Boron|-0.5136165022850037|-0.6382687091827393|-0.6476216912269592|-1.320988655090332|-0.6756426095962524|-1.874334454536438|0.6141760349273682|-0.17129001021385193|-0.24146737158298492|0.3710029721260071|0.08408122509717941|-0.9438532590866089|-1.0868488550186157|0.9139803051948547|-0.9074493646621704|-1.0604149103164673|-1.6959017515182495|-0.3731245994567871|-0.051791347563266754|-0.44538426399230957|-0.7140873074531555|0.2918461859226227|-0.14863696694374084|1.4623796939849854|-0.317581444978714|0.39425233006477356|-0.006619548425078392|1.931086778640747|0.15360727906227112|-1.6260664463043213|-0.5880913734436035|0.29109662771224976|-1.1890140771865845|-1.98015558719635|0.19241231679916382|-1.7116481065750122|0.8449713587760925|1.8169469833374023|0.0971863642334938|-1.0367339849472046|-0.5475367903709412|-0.2720680832862854|0.11239688843488693|-0.4079464077949524|-0.3182514011859894|0.29992222785949707|0.5663028359413147|0.8392568826675415|-0.8798437714576721|-0.11789894104003906|-0.3357003629207611|1.5258216857910156|0.5568627119064331|-0.2633627951145172|-2.051468849182129|-2.382124185562134|-0.17484693229198456|0.20399656891822815|-1.2618403434753418|-0.6539973616600037|-0.16743749380111694|-0.5669730305671692|0.6643182039260864|1.1376653909683228
5|Carbon|0.6980525255203247|0.05563059076666832|0.32470330595970154|0.2259466052055359|0.41976726055145264|-0.08494065701961517|0.7360028624534607|0.06252413988113403|2.4147727489471436|1.2695350646972656|-0.7741892337799072|2.446967840194702|0.5460784435272217|-0.23943458497524261|1.7333980798721313|0.45094382762908936|-2.1790225505828857|-0.24516168236732483|1.0495350360870361|-0.234683096408844|0.8371328711509705|-0.7476310729980469|-0.4026919901371002|-1.0943232774734497|-0.20056407153606415|-0.7752956748008728|-1.4389657974243164|-0.194542795419693|-2.412313222885132|-0.09889636933803558|0.8419137001037598|0.4452762305736542|0.2749146819114685|-0.1512661725282669|0.8518626093864441|-0.06254009157419205|0.40654700994491577|-0.16531886160373688|-1.130916714668274|1.0387907028198242|1.423530101776123|0.6521892547607422|-1.7794194221496582|0.6918521523475647|-1.394331455230713|-0.2837171256542206|-1.0727598667144775|1.4298512935638428|-1.1525312662124634|-0.24811121821403503|-0.02130475640296936|-1.3675662279129028|-0.8561117649078369|-0.7906544804573059|0.05170653015375137|-0.5142300128936768|-0.07281657308340073|-1.4482402801513672|-0.7465059757232666|-0.0983002707362175|1.069998025894165|-0.3503062129020691|-0.8030896782875061|-1.7336753606796265
