Epoch|Train_E_RMSE|Train_F_RMSE|Val_E_RMSE|Val_F_RMSE
1|1.7413586128453142|1.4960895278310369|0.744336149033227|1.9161116452574765
2|0.9022796988167481|1.5323678829256273|0.5885289363196486|2.3134579341587473
3|0.908266201619074|3.0670920316963994|1.336956673255227|2.8096718143579102
4|0.6991619572536385|2.128695006388022|1.1416153578127388|2.210211445580511
5|0.8317589203897889|4.7435291708460925|0.9081163897776479|3.046244481677972
6|0.7276470032783069|2.4145941568310043|1.0746696417283714|2.453670319256198
7|0.858795083991207|3.5342474127237216|0.9332254411287347|2.7521522234643707
8|0.8207038095909608|4.599877608976222|0.9174349510250995|2.4015532122611756
9|0.9807009064503349|2.4382454188691582|1.4125328631087926|3.802048868173456
10|1.0170558878574965|3.0122199552988644|1.355235667541021|4.766548586240744
11|0.8427653700307207|2.5475504707935404|1.4376754212182021|2.2469316640407087
12|1.0398566286409605|1.9006466471501235|1.8787429904859216|2.722098565445528
13|1.2564738604984944|2.7349584218840977|1.8433661725683077|2.560865665838924
14|1.5537899653353553|1.8543489656656864|2.4440749438884475|2.62074215016985
15|2.0089956309536503|1.9030518450677336|3.695954980263488|2.1908171506188623
16|2.4798701997652017|2.4907250563448944|4.360208543436539|3.6307631720315445
17|3.4509446777589674|4.533121177260503|5.399763510232239|2.873726884815261
18|4.109018642584009|5.573494855520486|5.286595610642992|3.0752924479233625
19|4.6733434791161175|12.887650685515178|6.275095524907271|4.638047299431553
20|4.441527119364531|2.584353770712105|7.9886773510881675|4.888754074033031
21|5.406256207814746|3.533057066492475|7.50328498459334|3.476789224864984
