    #         X           Y           Z        CHARGE     ATOM    DISTANCE
  -------------------------------------------------------------------------
    1      0.8747      1.1352      0.0682      2.0852      12      0.3769
    2      2.6137      4.4176      1.3643      0.6291      11      0.5889
    3      2.4227      4.4360      1.4325      0.8493      11      0.5900
    4      0.7041      0.4945      1.5689      0.0254      11      0.0435
    5      0.9092      0.6237      2.0464      0.7950      11      0.4975
    6      0.9679      0.6607      2.1828      0.1993      11      0.6504
    7      1.0265      0.6976      2.3192      0.0546      11      0.8034
    8      1.0851      0.7345      2.4557      0.0243       8      0.8928
    9      1.1437      0.7714      2.5921      0.0629       8      0.7415
   10      3.0556      5.1359      2.7285      0.3780       8      0.6364
   11      3.1143      5.1728      2.8649      0.5168       8      0.4837
   12      3.2901      5.2836      3.2742      0.0249       8      0.0420
   13      6.8882      1.4118      3.4106      1.1746       8      0.6155
   14      6.7706      1.4303      3.4788      0.6587       8      0.6165
   15      6.7001      1.9229      3.7517      0.6536       3      0.6096
   16      0.5662      1.1722      0.2046      0.2376      12      0.3339
   17      0.5282      0.3837      1.1596      0.0031      11      0.4979
   18      0.5076      1.1352      0.0682      0.2685      12      0.3432
   19      1.5863      1.3051      3.2742      0.0112       8      0.5009
   20      2.5910      2.6515      4.6385      0.3260      12      0.3702
   21      5.6202      1.4144      0.0682      1.1582      12      0.3281
   22      0.6277      1.4658      0.0000      0.0512      12      0.0489
   23      1.6461      1.4447      3.2742      0.0032       8      0.6525
   24      2.6729      1.3420      3.4106      0.5838       5      0.4923
   25      2.2648      1.7608      3.4106      0.2306       5      0.6046
   26      7.2027      2.5038      4.0928      0.0136       3      0.6259
   27      0.7743      1.5581      0.3411      0.0522      12      0.3525
   28      7.2175      2.4669      3.9563      0.0241       3      0.6295
   29      0.8207      1.7450      0.0000      2.3750      12      0.3458
   30      2.3713      2.4669      3.9563      0.0027       5      1.0230
   31      2.5623      2.6844      4.5020      0.0094      12      0.4924
   32      7.7167      2.7398      4.7067      0.1538      12      0.4128
   33      1.4313      3.0423      0.4093      0.1810       9      0.5127
   34      2.8920      1.2393      3.5471      0.9845       5      0.5817
   35      0.8071      1.8845      0.0000      0.1849      12      0.4687
   36      1.7404      3.0567      0.2046      0.3378       9      0.6000
   37      7.0455      4.0357      1.5007      0.8139       2      0.6028
   38      5.9382      3.7584      2.7967      1.2681      13      0.3824
   39      2.7277      3.8551      1.0914      0.8256       6      0.5554
   40      2.0927      3.3296      0.9550      0.0547       6      0.6268
