StructureID|AtomID|DFT_Fx|DFT_Fy|DFT_Fz|NN_Fx|NN_Fy|NN_Fz
0|0|-0.254003|-0.506133|0.574366|-0.37886572|-0.22055744|0.38351047
0|1|-0.029814|-0.677192|-0.475112|-0.3932752|-0.42185682|-0.26825473
0|2|0.363896|0.308439|0.455025|0.014618529|-0.31094414|0.046736505
0|3|0.252205|0.404472|-0.604999|0.29434502|0.0079078935|-0.5826826
0|4|0.018081|0.463314|0.368705|0.27524307|0.2055998|0.15651819
0|5|-0.146118|-0.383998|-0.293183|0.030478302|0.19877844|-0.08214863
0|6|-0.059143|-0.146938|-0.023811|-0.31741995|-0.046276662|-0.17347743
0|7|-0.132361|-0.391436|0.35864|-0.31818408|-0.49255663|0.31999752
0|8|0.155647|0.118413|0.0471|0.2531675|0.55430126|0.16582246
0|9|-0.232177|0.356481|0.085826|0.45123407|-0.07912217|0.25647
0|10|0.189136|0.255722|-0.31456|0.40005678|0.22644807|-0.09840016
0|11|-0.052394|0.133779|-0.029548|-0.20205778|0.314285|-0.23384336
0|12|0.148611|0.371303|-0.019333|-0.016901843|0.14148244|0.23821574
0|13|-0.207179|-0.276236|-0.046602|-0.15111014|-0.2097211|-0.094040215
0|14|-0.01439|-0.029989|-0.082516|0.058671355|0.13223183|-0.03442377
0|0|1.290812|0.212214|-0.913736|0.21353322|0.49220458|-1.0822346
0|1|1.053763|-0.418658|-0.809953|0.30297357|-0.11627512|-0.49899083
0|2|-0.20825|0.712118|0.681314|-1.0746939|0.88753974|0.58003664
0|3|-0.562799|0.401344|0.744761|-0.59896827|1.3064716|-0.15671858
0|4|-1.462149|0.244006|-1.272057|-0.66425323|0.13483036|-1.2734458
0|5|-1.17351|-0.128098|-0.282416|0.2789865|-0.9286697|-0.6185584
0|6|-1.313617|-0.244377|1.414058|-0.46499562|-0.30192214|1.2868687
0|7|-1.563725|-0.652473|0.057398|-0.4186067|-0.6786634|0.52480656
0|8|0.392998|-0.654707|-0.579992|0.40449518|-0.7687386|-0.10431421
0|9|0.301157|-0.359182|-0.675697|-0.62126976|0.14166157|0.41068017
0|10|1.411626|0.492462|1.005429|0.9713882|0.08842632|0.5886843
0|11|1.867463|0.159962|0.571428|0.66700983|-0.25798413|-0.03520378
0|12|0.10173|0.803175|-0.105455|0.114231214|-0.08349615|0.36161587
0|13|0.927321|0.21811|0.157629|1.0136522|-0.4888336|0.56021315
0|14|0.081576|0.100911|-0.27067|0.69503343|0.3529158|0.18261746
0|15|0.176793|0.625885|-0.607886|0.24607664|-0.12974386|-0.032289654
0|16|-0.031174|1.019117|0.199409|0.015109152|0.13207977|0.10678366
0|17|-0.755037|0.365916|-0.39738|0.21057358|0.41837656|0.027361274
0|18|-0.129441|-0.713797|-0.443462|-0.9996898|-0.09170532|-0.7761703
0|19|-0.776361|-1.003446|0.658956|0.29115888|-0.1798265|0.11816271
0|20|0.053988|-0.799026|0.776837|0.0865526|-0.016728062|0.05566817
0|21|-0.121686|-0.62064|-0.013935|-0.39170742|0.13857925|-0.1403054
0|22|0.743466|-0.375379|0.007479|0.6598295|-0.7049588|0.21783222
0|23|0.48525|-1.115554|0.351155|0.16656077|-0.19922674|-0.4325046
0|24|-0.047852|1.810129|-0.7571|-1.3633676|0.30758798|-0.7023411
0|25|-0.119747|0.043419|0.053173|-0.10613489|-0.1402469|0.26122153
0|26|-0.076555|1.244632|-0.11805|-0.051691018|-0.118607804|-0.41435313
0|27|-1.081365|-0.444032|0.232529|0.24256334|-0.70180994|1.373451
0|28|-0.465974|-1.080821|0.614261|-0.13766974|-0.076553226|0.34047815
