StructureID|NumAtoms|DFT_Energy|NN_Energy
0|15|-106.481445|-111.965546
0|15|-106.60333|-113.6022
0|120|-816.9048|-1007.6075
0|60|-430.4422|-542.4574
0|15|-106.60333|-113.512
0|15|-106.481445|-112.00067
0|30|-210.48254|-263.85922
0|30|-213.57816|-249.10268
0|15|-104.332306|-107.735306
0|15|-106.481445|-111.93561
0|120|-816.9048|-1007.6075
0|15|-107.92768|-109.022705
0|60|-418.28128|-374.6525
0|120|-816.9048|-1006.8765
0|15|-108.614075|-109.86335
0|15|-106.55274|-115.06257
0|15|-106.481445|-111.965546
0|120|-795.91864|-910.4009
0|60|-430.99057|-490.32846
0|15|-106.55274|-115.01248
0|15|-104.332306|-107.735306
0|30|-201.54025|-221.32765
0|120|-840.2213|-1059.8774
0|60|-430.99057|-490.5344
0|15|-106.60333|-113.46007
0|15|-106.55274|-115.01248
0|15|-106.60333|-113.45703
0|15|-108.60364|-115.54474
0|15|-106.481445|-111.965546
0|30|-201.54025|-221.32765
