Epoch|Train_E_RMSE|Train_F_RMSE|Val_E_RMSE|Val_F_RMSE
1|3.955996741029295|0.90377334050846|1.0906271289596983|0.5845981115887198
2|2.04122609182661|0.5532176709204916|0.41993795231049486|0.555766513544372
3|1.8970097578897092|0.46578531204651796|0.7300942848298962|0.43101673866613494
4|2.5726946494905354|0.4483554578069129|0.6496091437783807|0.4695901890860407
5|1.97566005698576|0.443795832341886|0.35649326739996495|0.6224239607697382
6|1.2413333007210792|0.42779937801871903|0.5327458023879734|0.42890140760012446
7|1.1526976781435478|0.38591649137571704|1.0226199663106188|0.4872919015984406
8|1.2659661927544434|0.3586236574687386|0.2824496130294735|0.39686438807244695
9|1.3297595762808925|0.35103003928949666|0.4033391463198097|0.39699945934128816
10|1.0014835863543685|0.3251843330837609|0.45797562475910986|0.4098874982723985
11|1.2427809493668915|0.32554107098815377|0.500732320695306|0.3867479968330423
12|1.0076547741876793|0.30444455721873215|0.7430073636808063|0.39595097144798097
13|1.0875966961336037|0.29702265710148656|0.5103508513132156|0.38692513555465324
14|0.9139820853321082|0.2863245820596618|0.6936563634829809|0.38323729748649155
15|1.008131260608767|0.2565256724348766|0.2518180512662627|0.3463913728752462
16|1.19193018558185|0.26109929816529787|1.113136806821669|0.3577257654583198
17|0.6770880099096388|0.27647578057121935|0.1389809966417196|0.3639308290219017
18|0.8211096390081623|0.26236033886035026|1.1907801449436075|0.3368130546307948
19|0.9438683457992645|0.27223777760123274|1.4923875125431079|0.35112917261744075
20|0.9797751896587874|0.24847658125293529|0.22399844309864173|0.34569513532597845
21|0.5949115613939997|0.24911308277223143|0.3580838498845028|0.3303275988275841
22|0.8112616253525506|0.2444353834180988|0.6332462943232589|0.35293497378217165
23|0.7226237270895854|0.22740373482992451|0.43110196606617557|0.30607838383748925
24|0.7965412410091374|0.23758520432166266|1.0034733592242906|0.3423795322363353
25|0.6553190670810009|0.22577926342882343|0.17539811469552877|0.313621249038601
26|0.510298710580415|0.22148143138876286|0.5807047173067533|0.3419965765522735
27|0.5099446763951012|0.2264431702518795|0.23656280907606161|0.32174478982698734
28|0.650717062015931|0.20860999324362914|0.5629933286706943|0.3265467950247772
29|0.563440291376076|0.20074959521209415|0.14243003261052092|0.32715133665707585
30|0.4011180983084304|0.2231345518789737|0.2616138052129796|0.32272142284326655
31|0.6032386911732098|0.22168982178857413|0.38051591204877294|0.3202061813965122
32|0.5702014273036922|0.198600907713889|0.4476363066113757|0.3005381586473309
33|0.46541174153154136|0.19271710637001188|0.413167197890105|0.32606939544720603
34|0.532919655227667|0.2112038151449548|0.38660712220494897|0.31163444185614003
35|0.7956037777634264|0.17502683847172096|0.20373334606614527|0.29144778102713353
1|3.4024690901048826|0.5432214503381808|0.8834553643325499|0.7678927881625772
1|8.794756645719074|0.8620704595571519|1.8568433284906198|0.725833999185695
2|1.5963357006569492|0.7882835407526249|0.3906409137753993|0.7045132570159298
3|1.2006362901066931|0.5310796731091666|0.8554289162177496|0.5475720767070202
1|13.617255293326656|1.5533057738930454|8.920873069288643|0.3646182020593819
2|3.682839115064454|1.4371620278486907|7.807417878260472|0.38664444493939365
3|4.9995733079042255|1.131109865476659|8.741365368514199|0.3894481864910823
4|7.118473744914091|0.9012215642371577|8.244032672608185|0.37921075644723934
5|5.202995413234726|0.8086871770428712|7.455417214992691|0.3634099805300989
6|2.511166525213391|0.7191271828840927|7.664936080437168|0.34671268031180164
7|1.0844019180166913|0.6106210342637662|8.36003246538347|0.32149342241764045
8|2.5968647833851564|0.5377410503407073|8.524135655412518|0.2893484529050435
9|2.812798123983554|0.47678813908196627|8.181787725835045|0.25843977644390376
10|1.3909991328979248|0.42359606810821604|7.689256420918776|0.2587314161308443
