    #         X           Y           Z       CHARGE      MIN DIST   ATOMIC VOL
 --------------------------------------------------------------------------------
    1    5.009256    4.925871    3.398822    2.214607     0.156204     5.332716
    2    7.091947    4.180434    1.316626    4.076002     0.122230     9.955673
    3    6.846016    2.674927    3.422308    1.696142     0.083823     3.728182
    4    4.826125    1.208626    0.833827    2.198929     0.145611     5.257708
    5    2.759826    1.948196    2.899636    3.413434     0.141649     8.167996
    6    3.000168    3.460962    0.802443    2.197994     0.088246     5.013934
    7    7.875700    6.083022    4.205379    0.962760     0.075716     3.678489
    8    9.246426    5.592412    2.834978    3.228351     0.756045     8.090801
    9    9.016754    4.550906    4.194297    2.103531     0.080957     5.381470
   10    1.959199    0.062744    0.016371    1.019272     0.076670     3.974144
   11    0.596568    0.550457    1.378679    2.048346     0.131809     5.209266
   12    0.774535    1.490312    0.025321    6.879545     0.929377    14.628636
   13    6.079298    3.743096    2.622297    5.466685     0.071966    12.467485
   14    3.825420    2.432840    1.626482    5.395037     0.043613    12.563744
   15    4.957241    3.073054    2.131955    6.099367     0.877776    11.761165
 --------------------------------------------------------------------------------
    VACUUM CHARGE:               0.0000
    VACUUM VOLUME:               0.0000
    NUMBER OF ELECTRONS:        49.0000
